user_id,datetime,contest_id,old_rate,new_rate,perf
Nyaan,1615719600.0,ahc001,0,301,1286
Nzt3,1615719600.0,ahc001,0,310,1298
Moegi,1615719600.0,ahc001,0,298,1282
SugarDragon5,1615719600.0,ahc001,0,308,1295
mosamosa,1615719600.0,ahc001,0,300,1285
Izayoi_R,1615719600.0,ahc001,0,305,1291
YujiSoftware,1615719600.0,ahc001,0,285,1265
naniwazu,1615719600.0,ahc001,0,316,1306
Ra16bit,1615719600.0,ahc001,0,297,1281
yoichiro,1615719600.0,ahc001,0,302,1288
amoshuangyc,1615719600.0,ahc001,0,312,1301
jell,1615719600.0,ahc001,0,309,1297
briansu,1615719600.0,ahc001,0,231,1181
toutatsu,1615719600.0,ahc001,0,225,1170
penpenpen,1615719600.0,ahc001,0,225,1169
chinerist,1615719600.0,ahc001,0,157,1026
hzoiliuchang,1615719600.0,ahc001,0,164,1043
Dispersion,1615719600.0,ahc001,0,163,1042
Daiji256,1615719600.0,ahc001,0,163,1042
th90tk297,1615719600.0,ahc001,0,163,1041
tokumini,1615719600.0,ahc001,0,163,1040
kazakami314,1615719600.0,ahc001,0,166,1048
delta71,1615719600.0,ahc001,0,158,1028
lbjlc,1615719600.0,ahc001,0,176,1072
is_this_fft,1615719600.0,ahc001,0,165,1046
n3104,1615719600.0,ahc001,0,196,1114
algotross,1615719600.0,ahc001,0,161,1036
yutas,1615719600.0,ahc001,0,160,1033
takoagemat,1615719600.0,ahc001,0,160,1033
putcho,1615719600.0,ahc001,0,159,1032
jj1guj,1615719600.0,ahc001,0,159,1031
KG1109,1615719600.0,ahc001,0,159,1030
keigonA,1615719600.0,ahc001,0,162,1038
souta_1326,1615719600.0,ahc001,0,166,1049
netyo715,1615719600.0,ahc001,0,161,1035
iloveUtaha,1615719600.0,ahc001,0,170,1058
madoka,1615719600.0,ahc001,0,160,1034
satoto81,1615719600.0,ahc001,0,161,1037
Round_Dice,1615719600.0,ahc001,0,169,1056
BohdanPastuschak,1615719600.0,ahc001,0,174,1068
SeijiF,1615719600.0,ahc001,0,173,1065
Franne,1615719600.0,ahc001,0,173,1064
